SPECIMEN_ID	SERIES	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	PRESERVATIVE_SOLUTION	ORGANISM_PART	DATE_OF_COLLECTION	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	HAZARD_GROUP	REGULATORY_COMPLIANCE	SCIENTIFIC_NAME	LIFESTAGE	SEX	HABITAT	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	PRESERVATION_APPROACH	DATE_OF_PRESERVATION	ELEVATION	WHAT_3_WORDS	IDENTIFIED_HOW	OTHER_ORGANISMS	BLOOD_MEAL	GRAVIDITY	COLLECTOR_SAMPLE_ID	OTHER_INFORMATION	MISC_METADATA	DNA_EXTRACTION_DESCRIPTION	DNA_EXTRACT_VOLUME_PROVIDED	DNA_EXTRACT_CONCENTRATION	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
KAJO_001_E3	21	KAJO-001	E3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.012						ANOSPP13031028	45525	58.0	23623.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_F3	22	KAJO-001	F3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.011						ANOSPP13031029	45525	60.0	25318.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_G3	23	KAJO-001	G3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.010						ANOSPP13031030	45525	59.0	23398.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_H3	24	KAJO-001	H3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.009						ANOSPP13031031	45525	60.0	22156.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_A4	25	KAJO-001	A4	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		N	NOT_COLLECTED	U.KMI.ASP.5.13.008						ANOSPP13031032	45525	60.0	19147.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_B4	26	KAJO-001	B4	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.007						ANOSPP13031033	45525	59.0	26855.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_C4	27	KAJO-001	C4	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.006						ANOSPP13031034	45525	60.0	27273.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_D4	28	KAJO-001	D4	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.005						ANOSPP13031035	45525	60.0	25545.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_E4	29	KAJO-001	E4	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.004						ANOSPP13031036	45525	60.0	26471.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_F4	30	KAJO-001	F4	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.003						ANOSPP13031037	45525	60.0	21021.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
